Lat,Lon
39.34272,-76.53583
39.3239,-76.58918
39.30319,-76.56146
39.32351,-76.56806
39.28367,-76.68807
39.28978,-76.63865
39.30205,-76.66622
39.28973,-76.6037
39.35916,-76.70565
39.34048,-76.60316
39.29154,-76.59973
39.32935,-76.564
39.28669,-76.63517
39.30723,-76.64458
39.30217,-76.66538
39.30515,-76.6346
39.32274,-76.57032
39.32274,-76.57032
39.31523,-76.67928
39.30905,-76.57986
39.29715,-76.58364
39.28035,-76.69041
39.30196,-76.63443
39.28829,-76.62367
39.23463,-76.60313
39.3283,-76.55771
39.28941,-76.61845
39.29771,-76.57213
39.31192,-76.64317
39.29499,-76.63255
39.29057,-76.64769
39.28422,-76.645
39.29553,-76.66207
39.31396,-76.60849
39.30061,-76.61589
39.32643,-76.54796
39.31906,-76.60927
39.28681,-76.63233
39.34191,-76.66539
39.28473,-76.55112
39.29799,-76.64838
39.30291,-76.63171
39.31125,-76.64662
39.34413,-76.55383
39.33147,-76.69599
39.3211,-76.57306
39.34306,-76.67621
39.30855,-76.66106
39.26688,-76.65229
39.32277,-76.58976
39.32277,-76.58976
39.29253,-76.61012
39.30971,-76.63849
39.31168,-76.6318
39.32895,-76.67622
39.35893,-76.57757
39.35893,-76.57757
39.27412,-76.61199
39.29265,-76.62978
39.27786,-76.61253
39.28977,-76.60985
39.28977,-76.60985
39.29866,-76.59093
39.29905,-76.64017
39.3052,-76.66821
39.2991,-76.57513
39.2991,-76.57513
39.2991,-76.57513
39.30999,-76.70142
39.31891,-76.56126
39.22741,-76.58791
39.32716,-76.5596
39.2639,-76.6415
39.30999,-76.70142
39.29471,-76.60852
39.28659,-76.61203
39.27891,-76.62386
39.3235,-76.61571
39.2817,-76.53747
39.278,-76.62898
39.278,-76.62898
39.27958,-76.66333
39.29064,-76.60232
39.24868,-76.62138
39.30914,-76.64231
39.32559,-76.67673
39.28024,-76.65843
39.35895,-76.55164
39.32416,-76.56893
39.32416,-76.56893
39.31633,-76.6227
39.30317,-76.6437
39.29698,-76.5758
39.30475,-76.60921
39.28097,-76.64966
39.27267,-76.67497
39.31991,-76.61439
39.29514,-76.66694
39.31527,-76.67213
39.31527,-76.67213
39.28886,-76.61937
39.30453,-76.66795
39.27347,-76.61324
39.2869,-76.6303
39.31029,-76.63569
39.29267,-76.66321
39.29276,-76.62211
39.34656,-76.60551
39.29099,-76.59177
39.24265,-76.62309
39.32901,-76.56443
39.3089,-76.64539
39.29196,-76.58379
39.34619,-76.67714
39.32525,-76.60683
39.29983,-76.58474
39.34023,-76.67281
39.34023,-76.67281
39.31654,-76.54324
39.29608,-76.62138
39.30496,-76.62084
39.30597,-76.65245
39.314,-76.60731
39.36008,-76.55471
39.31818,-76.69445
39.29312,-76.56831
39.30413,-76.62975
39.29838,-76.61407
39.31581,-76.59474
39.31581,-76.59474
39.31581,-76.59474
39.32265,-76.57544
39.28166,-76.62744
39.3293,-76.591
39.31595,-76.61119
39.37139,-76.60304
39.30184,-76.6057
39.31726,-76.67521
39.29003,-76.56921
39.29003,-76.56921
39.30021,-76.60091
39.29925,-76.62002
39.23183,-76.59232
39.34858,-76.67804
39.28704,-76.64881
39.28449,-76.6485
39.31588,-76.59478
39.29766,-76.57509
39.29766,-76.57509
39.29766,-76.57509
39.29766,-76.57509
39.29712,-76.57939
39.34771,-76.69145
39.2724,-76.53519
39.3153,-76.57665
39.2526,-76.65156
39.29926,-76.58236
39.32459,-76.68999
39.32277,-76.59274
39.34,-76.54748
39.35975,-76.61779
39.29938,-76.57812
39.31875,-76.59789
39.2819,-76.64687
39.27302,-76.69102
39.30703,-76.634
39.33276,-76.67579
39.28636,-76.59545
39.31113,-76.58576
39.33057,-76.62995
39.34054,-76.60304
39.31487,-76.64274
39.30946,-76.59754
39.34761,-76.67371
39.30217,-76.66538
39.27294,-76.60495
39.3135,-76.64594
39.31378,-76.63135
39.34941,-76.5624
39.28422,-76.57704
39.30639,-76.63108
39.30639,-76.63108
39.35531,-76.68774
39.33423,-76.53109
39.36835,-76.62576
39.28764,-76.54268
39.29839,-76.57594
39.30895,-76.61078
39.30504,-76.65257
39.32478,-76.559
39.31754,-76.66041
39.31829,-76.60557
39.30969,-76.64859
39.28172,-76.68278
39.28703,-76.55567
39.32039,-76.56184
39.28823,-76.64619
39.28672,-76.56495
39.26688,-76.65229
39.28347,-76.64206
39.2959,-76.57294
39.287,-76.55645
39.36166,-76.58257
39.28356,-76.64497
39.34471,-76.63
39.29488,-76.62206
39.3582,-76.60158
39.3582,-76.60158
39.33876,-76.55622
39.26751,-76.53855
39.2796,-76.6826
39.29652,-76.64434
39.27805,-76.61778
39.30669,-76.59677
39.32456,-76.56173
39.30271,-76.62792
39.32211,-76.60904
39.30504,-76.65257
39.23428,-76.59563
39.2901,-76.60524
39.2901,-76.60524
39.2901,-76.60524
39.31325,-76.58997
39.25753,-76.53063
39.28355,-76.6337
39.32347,-76.60947
39.30325,-76.59509
39.31538,-76.61815
39.29553,-76.58396
39.29138,-76.69346
39.28959,-76.61518
39.30497,-76.62933
39.30497,-76.62933
39.29484,-76.58645
39.29057,-76.64604
39.32211,-76.60901
39.34251,-76.5453
39.23227,-76.6003
39.30479,-76.67071
39.32259,-76.62119
39.3451,-76.66247
39.27648,-76.62549
39.29429,-76.686
39.32332,-76.57443
39.22992,-76.59985
39.2969,-76.57852
39.3019,-76.63436
39.28676,-76.56417
39.30001,-76.64263
39.285,-76.61309
39.29184,-76.57326
39.35921,-76.60569
39.28036,-76.57532
39.29915,-76.63459
39.28314,-76.64719
39.34864,-76.67519
39.28973,-76.60963
39.28024,-76.59581
39.28024,-76.59581
39.28024,-76.59581
39.36471,-76.56152
39.36471,-76.56152
39.2916,-76.53016
39.28307,-76.64668
39.29258,-76.56607
39.28424,-76.64603
39.28249,-76.63586
39.30072,-76.60481
39.29603,-76.62138
39.34069,-76.69978
39.32121,-76.55411
39.29287,-76.59982
39.30938,-76.57308
39.29302,-76.59821
39.29496,-76.57355
39.29053,-76.6182
39.32279,-76.59425
39.30618,-76.63948
39.29248,-76.5703
39.30337,-76.66909
39.30337,-76.66909
39.30039,-76.64764
39.30211,-76.67028
39.29891,-76.6416
39.30981,-76.60253
39.35455,-76.66241
39.28296,-76.70579
39.34382,-76.67593
39.30767,-76.58938
39.28028,-76.64705
39.3135,-76.61667
39.3317,-76.65873
39.2677,-76.67446
39.31868,-76.65399
39.29586,-76.57709
39.29082,-76.6399
39.33689,-76.67787
39.29829,-76.6915
39.35443,-76.69984
39.30592,-76.58084
39.31817,-76.65076
39.33748,-76.55253
39.3053,-76.65388
39.2879,-76.60749
